TC_Number,Category,Class_Name,Method_Name,Description,Groups
1,Player,PlayerTests,TC01_VerifyPlayBook,TC_01: Verify audio starts playing when Play button is clicked,"functional,ui,consumer"
1,Registration,RegistrationTests,TC1_VerifyValidRegistration,TC_1: Verify valid registration submits successfully,"consumer,functional,ui"
2,Player,PlayerTests,TC02_VerifyPauseBook,TC_02: Verify audio pauses when Pause button is clicked,"functional,ui,consumer"
2,Registration,RegistrationTests,TC2_VerifyEmptyFormValidation,TC_2: Verify empty form shows mandatory validation messages,"consumer,functional,ui"
3,Player,PlayerTests,TC03_VerifyResumeBook,TC_03: Verify audio resumes from paused position,"functional,ui,consumer"
3,Registration,RegistrationTests,TC3_VerifyNameValid,TC_3: Verify valid name input is accepted,"consumer,functional,ui"
4,Player,PlayerTests,TC04_VerifyNextChapterPlayback,TC_04: Verify next chapter button plays the next chapter,"functional,ui,consumer"
4,Registration,RegistrationTests,TC4_VerifyNameWithNumbers,TC_4: Verify name with numbers is accepted,"consumer,functional,ui"
5,Player,PlayerTests,TC05_VerifyPreviousChapterPlayback,TC_05: Verify previous chapter navigation returns to earlier chapter,"functional,ui,consumer"
5,Registration,RegistrationTests,TC5_VerifyNameSpecialCharacters,TC_5: Verify name with special characters is rejected,"functional,security,ui"
6,Player,PlayerTests,TC06_VerifyPreviousOnFirstChapterHandledGracefully,TC_06: Verify previous button behavior on first chapter,"functional,ui,regression"
6,Registration,RegistrationTests,TC6_VerifyNameLeadingSpace,TC_6: Verify name with leading space is handled gracefully,"functional,regression,ui"
7,Payment,PaymentTests,verifyInvalidPayment,,
7,Player,PlayerTests,TC07_VerifyForwardAudio,TC_07: Verify forward audio action executes and audio continues playing,"functional,ui,consumer"
7,Registration,RegistrationTests,TC7_VerifyNameTrailingSpace,TC_7: Verify name with trailing space is handled gracefully,"functional,regression,ui"
8,Payment,PaymentTests,verifyValidPayment,,
8,Player,PlayerTests,TC08_VerifyBackwardAudio,TC_08: Verify backward audio action executes and audio continues playing,"functional,ui,consumer"
8,Registration,RegistrationTests,TC8_VerifyNameMultipleSpaces,TC_8: Verify name with multiple spaces is handled gracefully,"functional,regression,ui"
9,Payment,PaymentTests,verifyPaymentPageRefresh,,
9,Player,PlayerTests,TC09_VerifyPlayerLoad,TC_09: Verify player bar loads successfully on book details page,"functional,ui,consumer"
9,Registration,RegistrationTests,TC9_VerifyNameUnicode,TC_9: Verify name with unicode characters is handled gracefully,"functional,regression,ui"
10,Payment,PaymentTests,verifyPaymentPageHandlesDelayedLoad,,
10,Registration,RegistrationTests,TC10_VerifyNameEmoji,TC_10: Verify name with emoji is rejected,"functional,security,ui"
11,Registration,RegistrationTests,TC11_VerifyNameSqlInjection,TC_11: Verify SQL injection in name is rejected,"functional,security,ui"
12,Registration,RegistrationTests,TC12_VerifyNameXssInjection,TC_12: Verify XSS injection in name is rejected,"functional,security,ui"
21,Registration,RegistrationTests,TC21_VerifyEmailValid,TC_21: Verify valid email input is accepted,"consumer,functional,ui"
22,Registration,RegistrationTests,TC22_VerifyEmailMissingAt,TC_22: Verify email without '@' is rejected,"functional,security,ui"
23,Registration,RegistrationTests,TC23_VerifyEmailMissingDomain,TC_23: Verify email without domain is rejected,"functional,security,ui"
24,Registration,RegistrationTests,TC24_VerifyEmailMultipleAt,TC_24: Verify email with multiple '@' is rejected,"functional,security,ui"
